company_id,detailsId,period,status,message
10200704,,2023,SKIP,parse_company_year_json returned None
10200704,,2024,OK,
10020468,,2022,OK,
10020468,,2023,OK,
10020468,,2024,OK,
11553119,,2022,OK,
11553119,,2023,SKIP,parse_company_year_json returned None
11553119,,2024,SKIP,parse_company_year_json returned None
11764836,,2022,OK,
11764836,,2023,OK,
11764836,,2024,OK,
2093775,,2022,OK,
2093775,,2023,OK,
2093775,,2024,OK,
2906476,,2022,OK,
2906476,,2023,OK,
2906476,,2024,OK,
11239618,,2022,OK,
11239618,,2023,OK,
11239618,,2024,OK,
1336729,,2022,OK,
1336729,,2023,OK,
1336729,,2024,OK,
11737602,,2022,OK,
11737602,,2023,OK,
11737602,,2024,OK,
6345722,,2022,OK,
6345722,,2023,OK,
6345722,,2024,OK,
3325938,,2022,OK,
3325938,,2023,OK,
3325938,,2024,OK,
11624887,,2022,OK,
11624887,,2023,SKIP,parse_company_year_json returned None
11624887,,2024,OK,
7646373,,2022,SKIP,parse_company_year_json returned None
7646373,,2023,SKIP,parse_company_year_json returned None
7646373,,2024,SKIP,parse_company_year_json returned None
9098166,,2022,SKIP,parse_company_year_json returned None
9098166,,2023,SKIP,parse_company_year_json returned None
9098166,,2024,SKIP,parse_company_year_json returned None
7431651,,2022,OK,
7431651,,2023,OK,
7431651,,2024,OK,
3639975,,2022,SKIP,parse_company_year_json returned None
3639975,,2023,SKIP,parse_company_year_json returned None
3639975,,2024,SKIP,parse_company_year_json returned None
11787427,,2022,OK,
11787427,,2023,SKIP,parse_company_year_json returned None
11787427,,2024,SKIP,parse_company_year_json returned None
8345220,,2022,OK,
8345220,,2023,OK,
8345220,,2024,SKIP,parse_company_year_json returned None
6857565,,2022,OK,
6857565,,2023,OK,
6857565,,2024,OK,
11512455,,2022,SKIP,parse_company_year_json returned None
11512455,,2023,OK,
11512455,,2024,OK,
9497383,,2022,OK,
9497383,,2023,OK,
9497383,,2024,OK,
9577850,,2022,OK,
9577850,,2023,OK,
9577850,,2024,OK,
3860843,,2022,OK,
3860843,,2023,OK,
3860843,,2024,OK,
8276754,,2022,OK,
8276754,,2023,OK,
8276754,,2024,OK,
2088604,,2022,OK,
2088604,,2023,OK,
2088604,,2024,OK,
3251502,,2022,OK,
3251502,,2023,OK,
3251502,,2024,OK,
9231714,,2022,OK,
9231714,,2023,OK,
9231714,,2024,OK,
10714370,,2022,OK,
10714370,,2023,OK,
10714370,,2024,OK,
8966361,,2022,OK,
8966361,,2023,OK,
8966361,,2024,OK,
9924931,,2022,SKIP,parse_company_year_json returned None
9924931,,2023,SKIP,parse_company_year_json returned None
9924931,,2024,SKIP,parse_company_year_json returned None
11608402,,2022,OK,
11608402,,2023,OK,
11608402,,2024,OK,
1193950,,2022,OK,
1193950,,2023,OK,
1193950,,2024,OK,
8227560,,2022,OK,
8227560,,2023,OK,
8227560,,2024,OK,
2852659,,2022,OK,
2852659,,2023,OK,
2852659,,2024,OK,
11989806,,2022,OK,
11989806,,2023,OK,
11989806,,2024,OK,
11767787,,2022,OK,
11767787,,2023,OK,
11767787,,2024,OK,
1517746,,2022,OK,
1517746,,2023,OK,
1517746,,2024,OK,
33870,,2022,SKIP,parse_company_year_json returned None
33870,,2023,SKIP,parse_company_year_json returned None
33870,,2024,SKIP,parse_company_year_json returned None
136873,,2022,OK,
136873,,2023,OK,
136873,,2024,OK,
10507944,,2022,OK,
10507944,,2023,SKIP,parse_company_year_json returned None
