level,key,period,n_companies,median_margin,mad_margin,median_debt_ratio,mad_debt_ratio,median_inv_turnover,mad_inv_turnover,median_growth,mad_growth
okved2,68,2022,246,0.05256894182436605,0.1068416685292712,0.0038819566786803,0.4087665855143816,35.68597499168823,33.016025753109545,0.0449635430731839,0.11765521888407801
okved2,69,2022,167,0.0458494208494208,0.0793758043758044,0.0,0.119324796274738,24.809859154929576,22.15880529076096,0.1363661397808007,0.287975693259513
okved2,70,2022,104,0.09041368651484065,0.1340603307191704,0.0,0.15239936950510524,39.953017241379314,38.87046305213869,0.09367131106261535,0.3844455632674426
okved2,71,2022,213,0.0769774415983802,0.12797558999854552,0.0,0.12781044878077755,10.47222048557055,10.032957885018043,0.1040613985359,0.35958815804379984
okved2,72,2022,14,0.0236048637994879,0.05921168786274155,0.6640046374462529,0.6640046374462529,,,-0.0050777355146054,0.3383296868176162
okved2,73,2022,158,0.042545331118137755,0.051732970072194406,0.0,0.0493470242249028,12.872390165255945,11.860322773850413,0.04418339225183915,0.26356742400549005
okved2,79,2022,12,0.0764066665806328,0.06813468837408809,0.0,0.3367733925438782,,,0.14606746329660858,0.4483283057140709
okved2,80,2022,15,0.0562614239222504,0.0491913811731548,,,,,0.11708356240313436,0.13409386241483384
okved2,86,2022,263,0.0604517271922054,0.061223901350157595,0.0,0.1126958617918842,16.32546606667279,12.477040869822396,0.11933118608288505,0.1867874178595735
okved2,93,2022,61,0.0578034682080924,0.10482628957737469,0.0,0.4612121168514749,14.00965569683014,12.22493994659715,0.1641525223698045,0.2335475401633988
okved2,95,2022,13,0.0290549169859514,0.0283017158812565,,,2.273811044355255,1.335853042907029,-0.09457493701847355,0.284112397345469
section,A,2022,98,0.08332864493315055,0.08719591105229131,0.3227059418326538,0.3227059418326538,1.8932492562983243,1.4151130011282613,0.0,0.2554185237193968
section,C,2022,301,0.0269036501612164,0.0346980653295947,0.1178897730621868,0.2454285677673984,6.308728367363214,4.483569697650088,0.189508400746733,0.3806109724286721
section,F,2022,555,0.0363864491844416,0.0362631837058194,0.11529034516240075,0.11529034516240075,8.774610575394723,6.969833836038545,0.23601369943253653,0.5344424340968985
section,G,2022,801,0.0267131242740998,0.0272872638202273,0.1172117397800022,0.20278573191861535,6.675548060708263,5.229512307784663,0.06698589089834005,0.338031863058635
section,H,2022,310,0.0248042456237631,0.033060243521471,0.072639225181598,0.2138329233595161,23.709402292044842,21.86065717358578,0.142855548556521,0.35273891552192493
section,I,2022,171,0.0387958789439793,0.0514973451649557,0.0379539908550309,0.2093158999406009,15.812435369665778,11.982332358194842,0.18206536206628465,0.2509824627542372
section,J,2022,188,0.0697237336959741,0.1147554412314154,0.0,0.0302343903880244,19.156203742733627,18.14108382221485,0.01026394031892175,0.24682446427484284
section,L,2022,246,0.05256894182436605,0.1068416685292712,0.0038819566786803,0.4087665855143816,35.68597499168823,33.016025753109545,0.0449635430731839,0.11765521888407801
section,M,2022,664,0.05551604235814755,0.0975276743431837,0.0,0.1090916921486713,15.65305800134244,15.092383888075734,0.0915372316126085,0.3084627683873915
section,N,2022,61,0.0539983511953833,0.0536323665195159,0.0014843402107763,0.2715004653519329,33.31818181818181,30.5877932566424,0.1559981014153179,0.2677080492846978
section,Q,2022,264,0.05998319077716735,0.06149412580038735,0.0,0.1111324451399158,16.32546606667279,12.477040869822396,0.1164493250972317,0.1860623715292149
section,R,2022,62,0.05818137472653935,0.10353551421644544,0.0,0.4612121168514749,14.00965569683014,12.22493994659715,0.1641525223698045,0.2335475401633988
section,S,2022,23,0.0317460317460317,0.030992830641336802,0.55,0.977085124677558,10.732799245994345,8.653117971093947,0.12281221053695014,0.34161237753581886
period,ALL,2022,3782,0.0389204472267305,0.05067826260652745,0.04368205132780335,0.2054341839937209,10.17779033647238,8.654886880109633,0.0974838245866283,0.3099313850194387
okved2,1,2023,89,0.0472527472527472,0.1535536575369207,0.3735342665994206,0.3735342665994206,1.7507865496687862,1.0292006465850858,0.1146140849254535,0.3468202802434956
okved2,10,2023,17,0.0764133395441876,0.0997545094720083,0.0,0.5412000653879767,7.556413886384373,6.049307132727119,0.16094500485626095,0.46359194431911593
okved2,25,2023,172,0.03253364506650995,0.03251473305308155,0.25337445575645723,0.25337445575645723,7.474678111587983,5.7035037065938345,0.2002196436221888,0.4144188197792035
okved2,33,2023,18,0.058479488816778,0.04864843283309885,,,11.576740959318418,8.548778697058133,0.14669206141822644,0.40961006969478486
okved2,41,2023,195,0.0219702338766832,0.0311350766543699,0.1966083730789613,0.1966083730789613,8.15295480880649,7.418429361763849,0.24014371145877406,0.6311892407649942
okved2,42,2023,167,0.030010175534343,0.0335107589649147,0.176954063834795,0.176954063834795,12.491092661025597,10.467215249737114,0.24756323698530025,0.39036584677307284
okved2,43,2023,205,0.0330796549974632,0.0455210924141645,0.021785929561698,0.134415419685837,7.932432432432432,6.1166168998252735,0.1251356238698011,0.4025807336502402
okved2,45,2023,170,0.03015484537276395,0.0275884581767245,0.2102709260008087,0.2102709260008087,5.788461538461538,4.429954594017094,0.11451871780043316,0.2688783115600224
okved2,46,2023,368,0.022275600596121402,0.02166753780663705,0.1823361823361823,0.19171605018277302,7.556970439892392,6.247446630368582,0.0863468353465686,0.36387663929029423
okved2,47,2023,244,0.0434861751072093,0.04355204493215503,0.039791744142804,0.11828287847183569,6.779353655891965,4.878466779527772,0.0275655919138136,0.19014177452316075
okved2,49,2023,191,0.0300804129852079,0.0322534671140107,0.13165570316373545,0.2295194609336258,34.4125,31.049438646426314,0.2222751589785,0.3749868621183668
okved2,52,2023,115,0.0311703194384758,0.058183969618262305,0.1079390354868061,0.17177975445780397,21.585365853658537,21.12347376558692,0.1206373292867981,0.3396573564369478
okved2,56,2023,162,0.0340149657308823,0.044618668739366055,0.00043558841902465004,0.22782994937891424,15.536038044285927,11.850252508126326,0.1404266810694031,0.22158312368754218
okved2,62,2023,165,0.0599022004889975,0.0948361139998706,0.0002746208120326,0.1196487111398944,30.545454545454547,27.72825024437928,0.13082770761193255,0.27056699712968074
okved2,68,2023,243,0.0681044267877412,0.135156854971834,0.036718975535734055,0.40348745494061145,48.54833333333333,47.120129524789846,0.04916645796130045,0.12146159900689214
okved2,69,2023,168,0.0543528333188692,0.0843848821233636,0.00020185708518365,0.09907274025003379,14.667031463748287,13.507517735239178,0.12938085763181645,0.3252064993357041
okved2,70,2023,103,0.0592635605957097,0.15295023245853118,0.0038387715930902,0.3760638908747025,15.564102564102564,14.911639731845469,0.081081081081081,0.25225225225225234
okved2,71,2023,214,0.06388752691554254,0.1115961227264793,0.0004442243178437,0.09575565319754706,15.84800445471431,14.370196166897856,0.0814799312544789,0.4057801857074051
okved2,72,2023,13,0.0689655172413793,0.08638679183908991,,,,,0.1232278764363527,0.5349825612745128
okved2,73,2023,159,0.0494296577946768,0.0480418809064996,0.0042883945322969,0.1008640765507735,13.593939393939394,13.292229992229991,0.14056596072499725,0.32568457457557487
okved2,80,2023,15,0.0595478577485161,0.0367479429818424,,,,,0.00735605452413685,0.18691634051682693
okved2,86,2023,271,0.0597141472868217,0.0650760775817278,0.0,0.1937643121366919,14.938710962933028,10.630352669366847,0.1316956670078471,0.1730858723790951
